Filter Name,Raw Logic,Eliminated Count,Rank,Reason,Eliminated Count (Rechecked),Status,EliminatedCount,FilterName,Type,Logic,Action,Eliminations
sum = 1,Eliminate if the digit sum of the combination equals 1.,0.0,1,,0.0,Skipped - Unrecognized Logic,0.0,,,,,0
"Seed contains 4, 5, 6, 8 → eliminate even combos","4, 5, 6, 8",0.0,,,0.0,Active,0.0,eliminate_even_4568,Quad,set('4568').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 1, 2, 4, 7 → eliminate even combos","1, 2, 4, 7",0.0,,,0.0,Active,0.0,eliminate_even_1247,Quad,set('1247').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
,,,,,,,,"Quad Filter 48: 1,2,6,8",Manual,"If seed includes digits [1,2,6,8] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 47: 5,7,8,9",Manual,"If seed includes digits [5,7,8,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 46: 4,6,7,8",Manual,"If seed includes digits [4,6,7,8] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 45: 4,5,6,7",Manual,"If seed includes digits [4,5,6,7] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 44: 3,6,7,8",Manual,"If seed includes digits [3,6,7,8] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 43: 2,5,8,9",Manual,"If seed includes digits [2,5,8,9] (in any order)",Eliminate all odd-sum combinations,0
"Seed contains 3, 4, 5, 8 → eliminate even combos","3, 4, 5, 8",0.0,,,0.0,Active,0.0,eliminate_even_3458,Quad,set('3458').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
,,,,,,,,"Quad Filter 42: 2,3,6,9",Manual,"If seed includes digits [2,3,6,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 40: 1,3,6,8",Manual,"If seed includes digits [1,3,6,8] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 39: 1,3,4,9",Manual,"If seed includes digits [1,3,4,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 38: 0,5,7,9",Manual,"If seed includes digits [0,5,7,9] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 37: 0,3,4,7",Manual,"If seed includes digits [0,3,4,7] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 36: 3,5,7,8",Manual,"If seed includes digits [3,5,7,8] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 35: 2,4,5,7",Manual,"If seed includes digits [2,4,5,7] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 34: 1,2,6,7",Manual,"If seed includes digits [1,2,6,7] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 33: 1,2,4,6",Manual,"If seed includes digits [1,2,4,6] (in any order)",Eliminate all odd-sum combinations,0
,,,,,,,,"Quad Filter 41: 1,4,5,9",Manual,"If seed includes digits [1,4,5,9] (in any order)",Eliminate all odd-sum combinations,0
"Seed contains 0, 5, 6, 7 → eliminate even combos","0, 5, 6, 7",0.0,,,0.0,Active,0.0,eliminate_even_0567,Quad,set('0567').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 1, 5, 6, 9 → eliminate even combos","1, 5, 6, 9",0.0,,,0.0,Active,0.0,eliminate_even_1569,Quad,set('1569').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 0, 1, 5, 9 → eliminate even combos","0, 1, 5, 9",0.0,,,0.0,Active,0.0,eliminate_even_0159,Quad,set('0159').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 0, 3, 6, 9 → eliminate even combos","0, 3, 6, 9",0.0,,,0.0,Active,0.0,eliminate_even_0369,Quad,set('0369').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 1, 2, 5, 7 → eliminate even combos","1, 2, 5, 7",0.0,,,0.0,Active,0.0,eliminate_even_1257,Quad,set('1257').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 0, 1, 2, 4 → eliminate even combos","0, 1, 2, 4",0.0,,,0.0,Active,0.0,eliminate_even_0124,Quad,set('0124').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 0, 1, 7, 8 → eliminate even combos","0, 1, 7, 8",0.0,,,0.0,Active,0.0,eliminate_even_0178,Quad,set('0178').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 2, 5, 6, 8 → eliminate even combos","2, 5, 6, 8",0.0,,,0.0,Active,0.0,eliminate_even_2568,Quad,set('2568').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 0, 1, 5, 8 → eliminate even combos","0, 1, 5, 8",0.0,,,0.0,Active,0.0,eliminate_even_0158,Quad,set('0158').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 2, 3, 4, 5 → eliminate even combos","2, 3, 4, 5",0.0,,,0.0,Active,0.0,eliminate_even_2345,Quad,set('2345').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 0, 4, 5, 8 → eliminate even combos","0, 4, 5, 8",0.0,,,0.0,Active,0.0,eliminate_even_0458,Quad,set('0458').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 2, 5, 6, 9 → eliminate even combos","2, 5, 6, 9",0.0,,,0.0,Active,0.0,eliminate_even_2569,Quad,set('2569').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 1, 2, 6, 8 → eliminate even combos","1, 2, 6, 8",0.0,,,0.0,Active,0.0,eliminate_even_1268,Quad,set('1268').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 0, 5, 8, 9 → eliminate even combos","0, 5, 8, 9",0.0,,,0.0,Active,0.0,eliminate_even_0589,Quad,set('0589').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 0, 1, 3, 5 → eliminate even combos","0, 1, 3, 5",0.0,,,0.0,Active,0.0,eliminate_even_0135,Quad,set('0135').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 0, 2, 6, 9 → eliminate even combos","0, 2, 6, 9",0.0,,,0.0,Active,0.0,eliminate_even_0269,Quad,set('0269').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 2, 3, 7, 8 → eliminate even combos","2, 3, 7, 8",0.0,,,0.0,Active,0.0,eliminate_even_2378,Quad,set('2378').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
"Seed contains 1, 3, 7, 8 → eliminate even combos","1, 3, 7, 8",0.0,,,0.0,Active,0.0,eliminate_even_1378,Quad,set('1378').issubset(seed) and int(combo) % 2 == 0,Eliminate even combos,0
