name,type,logic,action,Eliminated Count
the digit sum of the combination equals 1 -> eliminate combo,Manual,the digit sum of the combination equals 1,eliminate combo,0
seed digit exclusion 1 -> Action: eliminate combo if seed contains (in any order)  2 and combo contains neither 5 nor 4,Manual,seed digit exclusion 1,Action: eliminate combo if seed contains (in any order)  2 and combo contains neither 5 nor 4,0
"consecutive digits >= 4 - eliminates clusters of consecutive digits. -> eliminate combos with </=4 digits which follow one another in consecutive numerical order, despite how they are ordered in combo",Manual,consecutive digits >= 4 - eliminates clusters of consecutive digits.,"eliminate combos with </=4 digits which follow one another in consecutive numerical order, despite how they are ordered in combo",0
sum = 34 -> eliminate combo if the digit sum of the combination equals 34 unless seed >/=30,Manual,sum = 34,eliminate combo if the digit sum of the combination equals 34 unless seed >/=30,0
sum = 2 -> eliminate combo if the digit sum of the combination equals 2,Manual,sum = 2,eliminate combo if the digit sum of the combination equals 2,0
sum = 3 -> eliminate combo if the digit sum of the combination equals 3,Manual,sum = 3,eliminate combo if the digit sum of the combination equals 3,0
sum = 4 -> eliminate combo if the digit sum of the combination equals 4,Manual,sum = 4,eliminate combo if the digit sum of the combination equals 4,0
sum = 5 -> eliminate combo if the digit sum of the combination equals 5,Manual,sum = 5,eliminate combo if the digit sum of the combination equals 5,0
sum = 41 -> eliminate combo if the digit sum of the combination equals 41 unless seed >/=30,Manual,sum = 41,eliminate combo if the digit sum of the combination equals 41 unless seed >/=30,0
"if seed sum =16 -> and combo digit sum is <12 and >20, eliminate combo,if seed sum =16, a combo digit sum is <12 and >20, eliminate combo",Manual,if seed sum =16,"and combo digit sum is <12 and >20, eliminate combo,if seed sum =16, a combo digit sum is <12 and >20, eliminate combo",0
sum = 42 -> eliminate combo if the digit sum of the combination equals 42 unless seed >/=30,Manual,sum = 42,eliminate combo if the digit sum of the combination equals 42 unless seed >/=30,0
sum = 44 -> eliminate combo if the digit sum of the combination equals 44 unless seed >/=30,Manual,sum = 44,eliminate combo if the digit sum of the combination equals 44 unless seed >/=30,0
sum = 45 -> eliminate combo if the digit sum of the combination equals 45 unless seed >/=30,Manual,sum = 45,eliminate combo if the digit sum of the combination equals 45 unless seed >/=30,0
sum = 36 -> eliminate combo if the digit sum of the combination equals 36 unless seed >/=30,Manual,sum = 36,eliminate combo if the digit sum of the combination equals 36 unless seed >/=30,0
sum = 6 -> eliminate combo if the digit sum of the combination equals 6,Manual,sum = 6,eliminate combo if the digit sum of the combination equals 6,0
sum = 7 -> eliminate combo if the digit sum of the combination equals 7,Manual,sum = 7,eliminate combo if the digit sum of the combination equals 7,0
sum = 8 -> eliminate combo if the digit sum of the combination equals 8,Manual,sum = 8,eliminate combo if the digit sum of the combination equals 8,0
sum = 9 -> eliminate combo if the digit sum of the combination equals 9,Manual,sum = 9,eliminate combo if the digit sum of the combination equals 9,0
sum = 38 -> eliminate combo if the digit sum of the combination equals 38 unless seed >/=30,Manual,sum = 38,eliminate combo if the digit sum of the combination equals 38 unless seed >/=30,0
sum = 43 -> eliminate combo if the digit sum of the combination equals 43 unless seed >/=30,Manual,sum = 43,eliminate combo if the digit sum of the combination equals 43 unless seed >/=30,0
sum = 40 -> eliminate combo if the digit sum of the combination equals 40 unless seed >/=30,Manual,sum = 40,eliminate combo if the digit sum of the combination equals 40 unless seed >/=30,0
seed digit exclusion 22 -> eliminate combo if seed contains (in any order)  3 and combo contains neither 5 nor 4,Manual,seed digit exclusion 22,eliminate combo if seed contains (in any order)  3 and combo contains neither 5 nor 4,0
"seed digit exclusion 20 -> eliminate combo if seed contains (in any order)  1 and combo contains neither 2, 3, nor 4",Manual,seed digit exclusion 20,"eliminate combo if seed contains (in any order)  1 and combo contains neither 2, 3, nor 4",0
"if seed sum end digit is 2 and combo digit sum end digit is 0 -> eliminate combo,if seed sum end digit is 2 and combo digit sum end digit is 0, eliminate combo",Manual,if seed sum end digit is 2 and combo digit sum end digit is 0,"eliminate combo,if seed sum end digit is 2 and combo digit sum end digit is 0, eliminate combo",0
"if seed sum =17 or =18 and combo digit sum is <11 or >26 -> eliminate combo,if seed sum =17or seed sum =18 and combo digit sum is <11 or >26, eliminate combo",Manual,if seed sum =17 or =18 and combo digit sum is <11 or >26,"eliminate combo,if seed sum =17or seed sum =18 and combo digit sum is <11 or >26, eliminate combo",0
"if seed sum is </= 12 and combo digit sum <12 or >25 -> eliminate combo,if seed sum is </= 12 and combo digit sum <12 or >25, eliminate combo",Manual,if seed sum is </= 12 and combo digit sum <12 or >25,"eliminate combo,if seed sum is </= 12 and combo digit sum <12 or >25, eliminate combo",0
"if seed sum =13 -> 14 or 15 and combo digit sum is <14 and >22, eliminate combo,if seed sum =13, 14 or 15 and combo digit sum is <14 and >22, eliminate combo",Manual,if seed sum =13,"14 or 15 and combo digit sum is <14 and >22, eliminate combo,if seed sum =13, 14 or 15 and combo digit sum is <14 and >22, eliminate combo",0
"if seed sum = 19 -> 20 or 21 and combo digit sum is <14 or >24, eliminate combo,if seed sum = 19, 20 or 21 and combo digit sum is <14 or >24, eliminate combo",Manual,if seed sum = 19,"20 or 21 and combo digit sum is <14 or >24, eliminate combo,if seed sum = 19, 20 or 21 and combo digit sum is <14 or >24, eliminate combo",0
"if seed sum = 22or 23 and combo digit sum is <16 or >25 -> eliminate  combo,eliminate combo if sum <16 or >25",Manual,if seed sum = 22or 23 and combo digit sum is <16 or >25,"eliminate  combo,eliminate combo if sum <16 or >25",0
